Project,Client,Description,Duration
sos2223-jul-lmp,,#10 Individual tab on Sheets,00:15:13
sos2223-jul-lmp,,#11 Index Creation,02:59:49
sos2223-jul-lmp,,#16 arreglar .gitignore,00:25:21
sos2223-jul-lmp,,#17 Montar node con npm,00:16:10
sos2223-jul-lmp,,#18 Crear folder /samples,00:15:11
sos2223-jul-lmp,,#19 Crear servidor para el cool,02:24:50
sos2223-jul-lmp,,#23 Replicar algoritmo para acceder con la ruta /samples/lmp,01:44:49
sos2223-jul-lmp,,#27 Creación del GET en el index.js,00:33:29
sos2223-jul-lmp,,#28 Modularizar datos,00:18:33
sos2223-jul-lmp,,#29 API personal,03:31:08
sos2223-jul-lmp,,"#30 Metodos POST,DELETE,PUT...",08:58:56
sos2223-jul-lmp,,#39 Remodelar API,02:09:03
sos2223-jul-lmp,,#40 Borrado de archivos obsoletos,00:16:13
sos2223-jul-lmp,,#41 Ruta Docs POSTMAN,00:52:15
sos2223-jul-lmp,,#45 Adecuar para que devuelva array u objeto,01:30:00
sos2223-jul-lmp,,#46 Cambiar colección de Postman para el Test,01:41:00
sos2223-jul-lmp,,#47 No mostrar ni pedir el _id,00:30:11
sos2223-jul-lmp,,#8 Clone Respository and git commands,00:23:52
sos2223-jul-lmp,,#9 Postman Account,00:16:17
sos2223-jul-lmp,,Adaptación a Julio del proyecto,05:30:00
sos2223-jul-lmp,,API Visualización · Issue #64 · gti-sos/sos2223-20,06:32:41
sos2223-jul-lmp,,Busqueda de elementos concretos #58,05:34:55
sos2223-jul-lmp,,Cambio APIS EXTERNAS · Issue #69 · gti-sos/sos2223-20,04:51:32
sos2223-jul-lmp,,Cambio Backend a v3 · Issue #70 · gti-sos/sos2223-20,00:48:17
sos2223-jul-lmp,,"Continuar metodos GET,POST,DELETE en frontend... #53",06:17:14
sos2223-jul-lmp,,"Continuar metodos GET,POST,DELETE en frontend... Pt.2",03:15:34
sos2223-jul-lmp,,Convertir la App a OAuth · Issue #63 · gti-sos/sos2223-20,03:00:28
sos2223-jul-lmp,,Crear Carpeta y Esqueleto del FrontEnd para el grupo #51,01:33:39
sos2223-jul-lmp,,Eliminar bug · Issue #67 · gti-sos/sos2223-20,01:20:40
sos2223-jul-lmp,,Establecer recuento de todos los datos en integrarlos en highcharts · Issue #65 · gti-sos/sos2223-20,05:00:24
sos2223-jul-lmp,,Hacer Primera Grafica de Barras en Morris js · Issue #62 · gti-sos/sos2223-20,04:03:41
sos2223-jul-lmp,,Integración Grafica conjunta 2 con proxy · Issue #71 · gti-sos/sos2223-20,02:23:33
sos2223-jul-lmp,,Integrar backend con frontend #52,01:00:40
sos2223-jul-lmp,,Issue #01 - Clonar repositorio,00:10:24
sos2223-jul-lmp,,Modificar bbdd · Issue #66 · gti-sos/sos2223-20,02:44:26
sos2223-jul-lmp,,Terminar entregable anterior #57,04:01:00
sos2223-jul-lmp,,Update con Tests de Playwright · Issue #68 · gti-sos/sos2223-20,01:37:04
